"...1","artist_name","track_name","track_id","popularity","year","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_artist","track_album_id","track_album_name","track_album_release_date"
109731,"Catfish and the Bottlemen","Kathleen","1MHYAqWWdDRePmnqORynrq",64,2014,"alt-rock",0.489,0.892,11,-4.757,0,0.0786,0.000369,0.00293,0.411,0.598,137.93,160886,4,"Catfish and the Bottlemen","0C0OFASoQC57yC12vQhCwN","The Balcony","2014-09-15"
114856,"Aaron Smith","Dancin (feat. Luvli) - Krono Remix","6WkJ2OK163XXS2oARUC9JM",77,2014,"chicago-house",0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053,4,"Aaron Smith","2J2f6vGACFrRghO1Ki74BE","Dancin (feat. Luvli) [Krono Remix]","2014-11-07"
115279,"ODESZA","Sun Models (feat. Madelyn Grant)","7jZHUhAmW5oq1cq6s8IxmK",63,2014,"chill",0.683,0.481,8,-9.174,0,0.075,0.191,0.736,0.0907,0.47,120.001,160000,4,"ODESZA","5SXT6dwhHX56Sos7KMcMF5","In Return","2014-09-08"
115280,"ODESZA","Say My Name (feat. Zyra)","1LeItUMezKA1HdCHxYICed",62,2014,"chill",0.749,0.745,6,-7.367,0,0.0479,0.0041,0.395,0.0748,0.347,115.048,262957,4,"ODESZA","5SXT6dwhHX56Sos7KMcMF5","In Return","2014-09-08"
118811,"Sam Hunt","House Party","1TwLKNsCnhi1HxbIi4bAW0",69,2014,"country",0.747,0.861,8,-5.251,1,0.0514,0.113,0,0.026,0.859,103.966,190240,4,"Sam Hunt","0V7c0hnrLUFJyHNtjiAT2E","Montevallo","2014-10-27"
118816,"Lee Brice","I Don't Dance","5aj0xPGiEUN3aI2oOYu14S",64,2014,"country",0.587,0.559,1,-7.742,1,0.0321,0.399,6.69e-06,0.0992,0.19,92.036,221173,4,"Lee Brice","2XIhZ9IjqoIN5V6dfKHzCn","I Don't Dance (Deluxe Edition)","2014-09-09"
119670,"Avicii","The Nights","0ct6r3EGTcMLPtrXHDvVjc",84,2014,"dance",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,176658,4,"Avicii","0h2knr6qpiAq0tV5ri5JMF","The Days / Nights","2014-01-01"
119673,"Ariana Grande","One Last Time","7xoUc6faLbCqZO6fQEYprd",81,2014,"dance",0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4,"Ariana Grande","6EVYTRG1drKdO8OnIQBeEj","My Everything (Deluxe)","2014-08-25"
119674,"Calvin Harris","Summer","6YUTL4dYpB9xZO5qExPf05",80,2014,"dance",0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,4,"Calvin Harris","48zisMeiXniWLzOQghbPqS","Motion","2014-10-31"
119679,"5 Seconds of Summer","She Looks So Perfect","1gugDOSMREb34Xo0c1PlxM",70,2014,"dance",0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025,202496,4,"5 Seconds of Summer","2LkWHNNHgD6BRNeZI2SL1L","5 Seconds Of Summer","2014-06-27"
119681,"Rixton","Me And My Broken Heart","1oew3nFNY3vMacJAsvry0S",76,2014,"dance",0.545,0.783,5,-4.261,0,0.0345,0.00489,0,0.132,0.551,174.084,193733,4,"Rixton","02ae5i5UAoFrt2peVox9Xd","Let The Road","2014-01-01"
119689,"Selena Gomez","The Heart Wants What It Wants","6wJwkMo278iWVlWl1XQ4WA",74,2014,"dance",0.616,0.789,7,-4.874,0,0.0377,0.053,0,0.142,0.621,83.066,227373,4,"Selena Gomez","2iFTxCYwhF5oC1L8s1B0rI","The Heart Wants What It Wants","2014-01-01"
119690,"Becky G","Shower","3DmW6y7wTEYHJZlLo1r6XJ",75,2014,"dance",0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,4,"Becky G","4JlzEvVJqpb62Xwc0EmOHr","Shower","2014-04-23"
119699,"Clean Bandit","Rather Be (feat. Jess Glynne)","3s4U7OHV7gnj42VV72eSZ6",71,2014,"dance",0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4,"Clean Bandit","4UB0J5V3JsZZtNR360pZ6r","Rather Be (feat. Jess Glynne)","2014-01-17"
119706,"The Vamps","Somebody To You","2BWWsCwuHAZFE1scLyP6Qe",63,2014,"dance",0.559,0.849,3,-4.676,1,0.0454,0.0854,0,0.328,0.759,86.978,182827,4,"The Vamps","3XDvXyhPzaPRpGoEjoQI8P","Meet The Vamps","2014-11-04"
119708,"Beyoncé","7/11","02M6vucOvmRfMxTXDUwRXu",68,2014,"dance",0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.126,0.56,136.024,213507,4,"Beyoncé","2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","2014-11-24"
119710,"Omarion","Post to Be (feat. Chris Brown & Jhene Aiko)","0fgZUSa7D7aVvv3GfO0A1n",68,2014,"dance",0.733,0.676,10,-5.655,0,0.0432,0.0697,0,0.208,0.701,97.448,226581,4,"Omarion","13QoXGJgs22WiDG1NWT00D","Sex Playlist","2014-12-02"
119711,"Iggy Azalea","Black Widow","7pNC5ZIKtwUK0ReSpM3P9f",64,2014,"dance",0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,209423,4,"Iggy Azalea","3r51pg8BwnjazLJlW6dJIh","The New Classic","2014-01-01"
119735,"Wiz Khalifa","We Dem Boyz","1ULa3GfdMKs0MfRpm6xVlu",63,2014,"dance",0.717,0.862,8,-4.736,1,0.054,0.00689,0,0.321,0.52,130.021,224933,4,"Wiz Khalifa","2pl9PVgr8QFKRGY0HY69GI","Blacc Hollywood (Deluxe)","2014-08-19"
119743,"Tiësto","Red Lights","5L2l7mI8J1USMzhsmdjat9",65,2014,"dance",0.654,0.83,10,-4.801,1,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,262200,4,"Tiësto","4SHlBT6B3kL8bdj6X2xHRp","A Town Called Paradise","2014-06-13"
119749,"Austin Mahone","Mmm Yeah (feat. Pitbull)","2n3CaPGPLYnYAvTEwKCX8t",62,2014,"dance",0.712,0.922,6,-3.902,0,0.0411,0.00266,1.9e-06,0.268,0.976,125.984,231625,4,"Austin Mahone","0dcqVluuyFBCScCqH7uAwx","The Secret","2014"
119754,"Austin Mahone","All I Ever Need","0YEsfwQpG7ofdIiHWA0dHi",65,2014,"dance",0.708,0.647,11,-6.128,1,0.0298,0.117,0,0.111,0.654,129.95,213747,4,"Austin Mahone","0dcqVluuyFBCScCqH7uAwx","The Secret","2014"
119760,"Avicii","The Days","5Iy2Jj87Ha0C0IBlNE1I4y",65,2014,"dance",0.59,0.724,0,-3.278,1,0.0439,0.04,4.07e-05,0.142,0.526,127.059,278480,4,"Avicii","0h2knr6qpiAq0tV5ri5JMF","The Days / Nights","2014-01-01"
119919,"Gigi D'Agostino","L'amour Toujours (Small Mix)","0FkLMOUTkSTPSAYkIXQ579",61,2014,"dance",0.637,0.878,7,-4.449,1,0.0302,0.0775,0.0227,0.364,0.742,139.053,242053,4,"Gigi D'Agostino","3dvjLo2u1kao2ikKIJa6KP","L'Amour Toujour","2014-05-30"
138940,"ScHoolboy Q","Collard Greens","0zO8ctW0UiuOefR87OeJOZ",75,2014,"hip-hop",0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954,299960,4,"ScHoolboy Q","7Et3bSTLLqdABO1qCxUplS","Oxymoron (Deluxe)","2014-01-01"
138944,"Pharrell Williams","Happy - From ""Despicable Me 2""","60nZcImufyMA1MKQY3dcCH",79,2014,"hip-hop",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,232720,4,"Pharrell Williams","0lrmy4pJINsFzycJvttX2W","G I R L","2014-03-03"
138950,"Bobby Shmurda","Hot N*gga","19gEmPjfqSZT0ulDRfjl0m",71,2014,"hip-hop",0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4,"Bobby Shmurda","5ptl9Sheh9eWaogxFOZ3PV","Hot N*gga","2014-07-25"
138953,"ScHoolboy Q","Studio","29gsi1zZrZxdStACmTQB0Z",66,2014,"hip-hop",0.709,0.589,8,-7.776,0,0.0433,0.0507,0,0.0585,0.58,133.922,278067,3,"ScHoolboy Q","7Et3bSTLLqdABO1qCxUplS","Oxymoron (Deluxe)","2014-01-01"
138957,"G-Eazy","I Mean It (feat. Remo)","6jmTHeoWvBaSrwWttr8Xvu",68,2014,"hip-hop",0.712,0.562,10,-6.008,1,0.129,0.125,0,0.136,0.142,140,236480,4,"G-Eazy","6wDc63NhKy2PyXdbhkRmrl","These Things Happen","2014-06-20"
138966,"Kevin Gates","I Don't Get Tired (#IDGT) (feat. August Alsina)","6HMHgBHdLBQ0QYIaOp2gse",62,2014,"hip-hop",0.492,0.698,1,-5.606,1,0.171,0.0524,0,0.428,0.288,139.953,209707,4,"Kevin Gates","4if4IsX36odNlcZF2kqgt3","Luca Brasi 2: Gangsta Grillz","2014-12-15"
138974,"Logic","Gang Related","1Kp6WFxRzc0sRBmGSgIYat",61,2014,"hip-hop",0.597,0.856,10,-7.089,0,0.0431,0.209,0.0159,0.278,0.771,131.95,167320,4,"Logic","1Mk7Lei0Ra3hawezqmad5V","Under Pressure (Deluxe)","2014-10-21"
140599,"American Authors","Best Day Of My Life","5Hroj5K7vLpIG4FNCRIjbP",77,2014,"indie-pop",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,4,"American Authors","0V4laGZGshNCpurfIdUhHv","Oh, What A Life","2014-01-01"
140607,"Bleachers","I Wanna Get Better","1BwhFXqoIsePt21WyWIttb",61,2014,"indie-pop",0.446,0.915,9,-6.221,1,0.141,0.00281,3.87e-05,0.218,0.398,190.013,204520,4,"Bleachers","0cnNCK2xpudXjB8pzsrYy9","Strange Desire","2014-07-11"
143173,"Slipknot","The Devil in I","5hheGdf1cb4rK0FNiedCfK",70,2014,"metal",0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,342821,4,"Slipknot","0ApKaazNHf0gzjAYZauexq",".5: The Gray Chapter (Special Edition)","2014-10-15"
143174,"Beartooth","In Between","03jdl5GTBhKsgB1Yw8mVPh",64,2014,"metal",0.462,0.972,7,-2.642,0,0.138,0.00285,0,0.666,0.449,128.092,213576,4,"Beartooth","7dh7xmoU6FjAIQgrBbltXV","Disgusting","2014-06-10"
143186,"Linkin Park","Final Masquerade","3aYBjxTMvrEOP0A0UXg9ER",64,2014,"metal",0.466,0.852,3,-4.487,1,0.0585,0.00774,2.6e-06,0.0989,0.428,164.032,217613,4,"Linkin Park","3XB2yloP7l00tEUmaODtVi","The Hunting Party","2014-06-13"
146275,"OneRepublic","Counting Stars","6sy3LkhNFjJWlaeSMNwQ62",76,2014,"piano",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.115,0.477,122.017,257840,4,"OneRepublic","2bbhW5ifCwOYM8DMkqoYBF","Native","2014-01-01"
146767,"Maroon 5","Maps","4gbVRS8gloEluzf0GzDOFc",82,2014,"pop",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,189960,4,"Maroon 5","2Auw0pTT6EcQdvHNimhLQI","V","2015-05-15"
146779,"Maroon 5","Sugar","2iuZJX9X9P0GKaE93xcPjk",80,2014,"pop",0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,235493,4,"Maroon 5","2Auw0pTT6EcQdvHNimhLQI","V","2015-05-15"
146781,"Maroon 5","Animals","2bL2gyO6kBdLkNSkxXNh6x",79,2014,"pop",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,231013,4,"Maroon 5","2Auw0pTT6EcQdvHNimhLQI","V","2015-05-15"
146788,"One Direction","Steal My Girl","2Bs4jQEGMycglOfWPBqrVG",78,2014,"pop",0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,228133,4,"One Direction","4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","2014-11-17"
146798,"Alex & Sierra","Little Do You Know","1almCHdsfikRPfVB9VrEdT",73,2014,"pop",0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,185200,4,"Alex & Sierra","3Yk19X5zgXDSrG8uqrPnXC","It's About Us","2014-10-06"
146800,"Enrique Iglesias","Bailando - Spanish Version","32lm3769IRfcnrQV11LO4E",67,2014,"pop",0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,243413,4,"Enrique Iglesias","2kZkiVn1m00XcgaWlLb2LD","SEX AND LOVE (Deluxe)","2014-01-01"
